Substance 1,Substance 2,Result,Reason
OXYGEN,HELIUM,Compatible,"NR

-----


*****


Oxidizing Agents, Strong WITH Not Chemically Reactive:

   No evidence was found for a hazardous reaction between these reactive groups."
OXYGEN,"HYDROGEN AND METHANE MIXTURE, COMPRESSED",Incompatible,"F
G
R1
R3
T
E
F
G
R1
R2
R3
-----

CO
CO2
CO2
*****


Hydrocarbons, Aliphatic Saturated WITH Oxidizing Agents, Strong:

   Methane will ignite or explode on contact with BrF5 (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, p. 172. Longmans, Green and Co Ltd.).

   Methane will explode on contact with F2O2, or F2O2/F2O4 mixtures, at cryogenic temperatures (Streng, A.G. 1963. Chemical Reviews 63:615.).

   Methane or ethane will explode on contact with dioxygenyl tetrafluoroborate at low temperatures (Goetschel, C.T. et al. 1969. Journal of the American Chemical Society 91: 4706.).

   Hydrocarbons explode on contact with ClF3 at or below ambient temperatures (Brower, K.R. 1986. Journal of Fluorine Chemistry 31:333-349.).

   Hydrocarbons ignite or explode on contact with fluorine, even at cryogenic temperatures (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, p. 11. Longmans, Green and Co Ltd.; 1956. Volume 2, Supplemental 1. pp. 198; The Chemical Elements and their Compounds, Sidgwick, N.V., Oxford, Oxford University Press, 1950, pp. 1117).

   Low molecular weight hydrocarbons will ignite on contact with IF7 (Booth, H.S. et al. 1947. Chemical Reviews 41:428.).

   Cycloalkanes can produce nitroperoxonitrates with N2O4 at low temperatures; these compounds are unstable at ambient temperatures (Lachowicz, D.R. et al. 1971. U.S. Patent 3621050.).

   Inorganic oxidants may liberate flammable and toxic aldehyde and inert CO2 gas upon exposure to saturated aliphatic compounds (Predicted).

   Vanadyl Perchlorate is a powerful oxidant which may explode above 80°C, and which ignites organic solvents on contact.  (Schmeisser, M., Angew. Chem., 1955, 67, 499)

Oxidizing Agents, Strong WITH Reducing Agents, Weak:

   NaClO3 reacts exothermically with ammonium thiosulfate, releasing toxic CO2 and NOx gases (MCA Case History No. 2019, Case Histories of Accidents in the Chemical Industry, Manufacturing Chemists’ Association, Washington).

   Carbon can ignite or explode in contact with oxygen, metal oxides, peroxides, metal oxosalts, halogens, interhalogens, and other oxidants (Urben, P.G. 1995. Bretherick's Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 125).

   H2 ignites on contact with BrF5 (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, p. 172. Longmans, Green and Co Ltd.).

   Mixtures of hydrogen and fluorine can explode under ambient conditions if fluorine is in excess (A. D. Kirshenbaum, 1956, Final Report on Fundamental Studies of New Explosive Reactions, Philadelphia, Research Institute of Temple University, pp. 46).

   Sulfur, phosphorus, selenium, and tellurium ignite on contact with F2 at ambient temperature (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, p. 11, 12. Longmans, Green and Co Ltd.; 1956. Volume 2, Supplemental 1. pp. 60; 1946. Volume 5. pp. 785, 822; 1940. Volume 6. pp. 161; 1939. Volume 9. pp. 34, 1943. Volume 11. pp. 26).

   Mixtures of CrO3 and sulfur can ignite if warmed (Mellor, J.W. 1943. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 11, p. 234. Longmans, Green and Co Ltd.).

   Carbon ignites if heated with KMnO4 (Mellor, J.W. 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 1, p. 319-323. Longmans, Green and Co Ltd.).

   Antimony or arsenic can ignite or explode if ground with KMnO4 (Mellor, J.W. 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 12, p. 322. Longmans, Green and Co Ltd.).

   Mixtures of KClO4 and sulfur are pyrotechnic explosives, and are impact-sensitive (J. C. Schumacher. 1960. Perchlorates, their Properties, Manufacture and Uses. ACS 146, New York, Reinhold, pp. 211-212).

   NaClO3 can form flammable or explosive mixtures with phosphorus, silicon, and sulfur (MCA Safety Datasheet 42, Manufacturing Chemists’ Association, Washington, 1952).

   Mixtures of sodium thiosulfate and sodium nitrate are explosive if heated (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, p. 820. Longmans, Green and Co Ltd.) or allowed to dry (Stevens, H.P. 1946. J. Proc. R. Inst. Chem. 285).

   H2 forms explosive mixtures with bromine (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, p. 707. Longmans, Green and Co Ltd.). 

   Mixtures of H2 and Cl2 are explosive, and can be initiated by several means, including sparks and heat (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, pp. 373-375. Longmans, Green and Co Ltd.).

   Phosphorus or sulfur form friction-and-heat sensitive explosive mixtures with KMnO4 (Mellor, J.W. 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 1, p. 319-323. Longmans, Green and Co Ltd.). 

   Potassium nitrate forms explosive mixture (black powder) with sulfur and carbon (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 820, 825. Longmans, Green and Co Ltd.; 1963. Volume 2, Supplemental 2.2. pp. 1939).

   KNO3 forms potentially explosive mixtures with arsenic (Mellor, J.W. 1939. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 9, p. 35. Longmans, Green and Co Ltd.) or reductants such as sodium phosphinate or sodium thiosulfate (Mellor. 1941. Volume 2. pp. 820).

   Reaction of CrO3 and selenium is violent (Mellor, J.W. 1943. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 11, p. 233. Longmans, Green and Co Ltd.).

   Sodium chlorate may react with sulfur dioxide to liberate toxic and flammable ClO2 and toxic Cl2 gases (Masschelein, W. J. Chlorine Dioxide. Ann Arbor, MI: Ann Arbor Science Publishers Inc., 1979, pp. 114)."
OXYGEN,"HYDROGEN CHLORIDE, ANHYDROUS",Incompatible,"C
E
F
G
R1
R3
T
-----

BR2
Cl2
ClO2
X2
X2O
*****


Acids, Strong Non-oxidizing WITH Oxidizing Agents, Strong:

   HCl reacts with oxidizing agents (e.g., H2O2, V2O5), including oxygen, to produce toxic Cl2 gas (Hisham, M.W.M., T.V. Bommaraju. 2004. Hydrogen Chloride. In Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. (Online)).

   Reaction of HCl and KMnO4 evolves toxic Cl2 gas (Curry, J.C. 1965. School Science Review 46(160):770.), and can be explosive, possibly due to the formation of Cl2O gas (Ephraim, F., Thorne, P.C.L., Ward, A.M., Inorganic Chemistry, 3rd English Ed., London, Gurney & Jackson, 1939, p. 162.).

   Reaction of concentrated hydrofluoric acid and anhydrous KMnO4 is exothermic and violent (Black, A.M. et al. 1974. Journal of the Chemical Society, Dalton Trans. 977.).

   Hydrofluoric acid forms the powerful oxidizer HgF2 when it reacts with HgO; reactions involving an HF/HgO mixture and organic materials must be run at low temperature to avoid a runaway reaction (Ormston, J. 1944. School Science Review 26(98):32). 

   Reaction of HBr and ozone accelerates to explosion, even at -104 C (Lewis, B. et al. 1931. Journal of the American Chemical Society 53, p. 3565.).

   HF, HCl, HBr, and HI, whether aqueous or anhydrous, ignite on contact with fluorine. (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Longmans, Green and Co Ltd. Volume 2. pp. 12.).

   HCl reacts violently with AgClO4 in carbon tetrachloride solution (Lewis, R.J., Sr. 1992. Sax's Dangerous Properties of Industrial Materials, 8th Edition. New York: Van Nostrand Reinhold. pp. 1893.).

   Sodium chlorate may react with sulfur dioxide to liberate toxic and flammable ClO2 and toxic Cl2 gases (Masschelein, W. J. Chlorine Dioxide. Ann Arbor, MI: Ann Arbor Science Publishers Inc., 1979 pp. 114)."
OXYGEN,"HYDROGEN PEROXIDE, STABILIZED",Caution,"UR

-----


*****


Oxidizing Agents, Strong WITH Oxidizing Agents, Strong:

   Due to the highly reactive nature of members of this group, we cannot state with certainty that hazardous reactions between members of this group will not occur. Powerful oxidizers may in fact react with less powerful oxidizers. Caution should be used before proceeding. Further research of comparable examples in the literature or very small scale, carefully controlled experiments may be needed to fully assess compatibility."
OXYGEN,LACTOSE,Incompatible,"C
E
F
G
R1
R3
T
-----

CO
CO2
H2
HX
X2
XO2
*****


Alcohols and Polyols WITH Oxidizing Agents, Strong:

   Potassium superoxide reacts violently and exothermically with ethanol, causing gas evolution and potentially producing a fire hazard (Health and Safety Information. 1967. U.S. Army Environmental Command, Washington. pp. 251.).

   Calcium hypochlorite may ignite, cause an explosion, or form explosive compounds with alcohols, including glycerol, monomethyl diethylene glycol, polyethylene glycol, ethanol, and methanol (Fawcett, H.H. 1959. Industrial and Engineering Chemistry Research 51(4):90A.), possibly with production of flammable gases (Kirkbride, K.P. et al. 1991. Journal of Forensic Science 36620(3):902.).

   Many organic solvents, including some alcohols, explode on contact with permanganic acid (Fire and Explosion Risks, von Schwartz, E., London, Griffin, 1918, p. 327.). 

   Ethanol explodes in contact with F2O2 even at cryogenic temperatures (Streng, A.B. 1963. Chemical Reviews 63:615.). 

   Ethanol explodes on contact with FNO3 (Handbook of Preparative Inorganic Chemistry, Brauer, G., (Translation Ed. Riley, R.F.), London, Academic Press, Vol. 1, 1963. pp. 189.). 

   CrO3 vigorously oxidizes and ignites C1-C6 alcohols (Newth, F.H. et al. 1964. Chemistry and Industry 1482.). 

   Alcohols are exothermically oxidized by Na2O2, possibly causing fire or explosion (Fire and Explosion Hazards of Peroxy Compounds, Special Publication No. 394, Castrantas, H. M., Banerjee, D.K., Noller, D. C., Philadelphia, ASTM, 1965, p. 4.). 

   Reaction of isopropanol or ethanol with acidified sodium dichromate is highly exothermic, potentially explosive, and may pose a fire hazard (Annable, E.H. 1951. School Science Review 32(117):249; Urben, P.G. 1995. Bretherick's Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. Vol. 1, pp. 1385.). 

   Ethanol ignites and explodes on contact with nitrosyl perchlorate (Hoffmak, K.A. et al. 1909. Berichte. 42:2031.). 

   Ethylene glycol is hypergolic with CrO3, KMnO4, and Na2O2 (Oouchi, H. et al. 1982. Chemical Abstracts 97:8605.). 

   Glycerol ignites on contact with KMnO4 (British Chemical Industrial Safety Council. 1974. Quarterly Safety Summary 45:11-122.). 

   Glycerol and chlorine can explode at slightly elevated temperatures (Statesir, W.A. 1973. Chemical Engineering Progress 69(4):54.). 

   Reaction of BrF5 and ethanol may cause fire or explosion (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1. p. 172. Longmans, Green and Co Ltd.).

   Ethanol ignites in contact with chromyl chloride (Mellor, J.W. 1943. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 11, p. 396. Longmans, Green and Co Ltd.). 

   Reaction of C1-C3 alcohols and barium perchlorate yield highly explosive alkyl perchlorates (Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. 1964. Volume 5. pp. 75.). 

   Alcohols can form explosive mixtures with H2O2 (MCA Safety Datasheet 53. Safety Datasheets, Manufacturing Chemists’ Association, Washington. 1969.). 

   NaBrO3 and KBrO3 can produce explosive compounds with ethylene glycol (Oouchi, H. et al. 1982. Chemical Abstracts 97:8605.). 

   Methanol and lead perchlorate may form explosive methyl perchlorate (Willard, H.H. et al. 1930. Journal of the American Chemical Society 52:2396.). 

   Methanol can form explosive methyl hypochlorite in contact with sodium hypochlorite (Urben, P.G. 1995. Bretherick's Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1283.). 

   Ethanol can form explosive ethyl perchlorate with uranyl perchlorate (Eramesta, O. 1942. Suomen Kemist 15B:1.), KClO4 (Burton, H. et al. 1955. Analyst 80:16.), or magnesium perchlorate (Urben, P.G. 1995. Bretherick's Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1320.). 

   Reaction of ethanol with AgNO3 can form explosive silver fulminate and ethyl nitrate (Luchs, J.K. 1966. Photog. Sci. Eng. 10:334.).

   Reaction of sodium hypochlorite and ethylene glycol can be violent after a short induction period (Bickerton, J. 1991. Chemistry in Britain 27(6):504.). 

   P4O6 reacts violently with methanol (Thorpe, T.E. et al. 1890. Journal of the Chemical Society 57:569-573.). 

   Disulfuryl difluoride and ethanol react violently (Hayek, E. 1951. Monatshefte für Chemie. 82:942.). 

   Bromine and ethanol react vigorously with heat generation (Muir, G.D. 1972. Chemistry in Britain 8:6.). 

   Ethanol reacts with hypohalites to form haloforms, but is the only primary alcohol that can undergo this type of reaction (Logsdon, J.E. 2004. Ethanol. In Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. (Online)).

   Methyl and ethyl alcohol may be oxidized to toxic and low-BP formaldehyde and acetaldehyde respectively by strong oxidizing agents such as K2Cr2O7 and KMnO4 (Morrison, R. T. and Boyd, R. N. Organic Chemistry, Allyn and Bacon, Inc, Boston: 1973, pp. 528).

   Oxidation of methanol may proceed to CO2 (Rodd, E. H, ed. Chemistry of Carbon Compounds, Elsevier Publishing Company, Amsterdam, 1951, vol. 1a, pp. 298).

   The reaction of ethyl alcohol and calcium hypochlorite yields chloroform, and by extension may also yield fluoroform with calcium hypofluorite (Rodd, E. H, ed. Chemistry of Carbon Compounds, Elsevier Publishing Company, Amsterdam, 1951, vol. 1a, pp. 304). 

   The reaction between the [ClO3]- ion and methanol may yield chlorine gas, carbon dioxide and chlorine dioxide gases (Masschelein, W. J. Chlorine Dioxide. Ann Arbor Science Publishers Inc, Ann Arbor, MI: 1979. pp. 120)."
OXYGEN,LEAD,Incompatible,"E
F
G
R1
R3
-----

O2
*****


Metals, Less Reactive WITH Oxidizing Agents, Strong:

   Mercury combines readily with the halogens (DeVito, S. C. and Brooks, W. E. 2005. Mercury. Kirk-Othmer Encyclopedia of Chemical Technology. (Online); MCA Safety Data Sheet 49, Manufacturing Chemists’ Association, Washington, 1968).

   Chlorine, bromine, and iodine readily react with tin; with fluorine, the action is slow at room temperature (Gaver, C. C. and Updated by Staff 2005. Tin and Tin Alloys. Kirk-Othmer Encyclopedia of Chemical Technology. (Online)).

   Iodine bromide reacts violently with tin (Pascal, P. 1963. Nouveau Traité de Chimie Minérale. Vol. 8, Part 3, p. 308. Masson et Cie.).

   Silver, copper, tin, and lead react violently and may ignite on contact with ClF3 (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1237).

   Powdered copper will burn in chlorine (Mellor, J.W. 1967. Mellor’s Modern Inorganic Chemistry, 6th Edition. John Wiley & Sons, Inc. pp. 649). 

   Silver, platinum, gold, copper, and lead can catalyze exothermic decomposition of hydrogen peroxide, releasing combustion-promoting O2 gas (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1531; Winnacker. 1970. Volume 2. pp. 552).

   Copper reacts incandescently with KO2 (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 493. Longmans, Green and Co Ltd.).

   Silver can cause explosive decomposition of ozonides (Rieche, A. et al. Justus Liebigs Annalen der Chemie (1942), 553, 187-249).
 
   Copper and many other metals cause hydrazinium nitrate to ignite and decompose at 70 C (J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, pp. 327. Longmans, Green and Co Ltd.; J. W. Mellor, 1967. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, Supp. 2, pp. 84, 96. Longmans, Green and Co Ltd.).

   Copper forms shock and friction-sensitive mixtures with bromate, chlorate, and iodate salts (J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 310. Longmans, Green and Co Ltd.).

   Mercury forms a shock-sensitive explosive mixture with ClO2 (J. W. Mellor, 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 288. Longmans, Green and Co Ltd.)."
OXYGEN,LEAD SULFATE,Incompatible,"R1
R3
-----


*****


 Oxidizing Agents, Strong WITH Non-Redox-Active Inorganic Compounds:

  The combination of very strong oxidizing agents and normally non-redox-active salts may result in exothermic oxidation-reduction reactions.  Caution should be used before proceeding. Further research of comparable examples in the literature or very small scale, carefully controlled experiments may be needed to fully assess compatibility.

   Chlorine trifluoride is a potent oxidizer and reacts violently with many metal oxides and some salts, including calcium oxide, magnesium oxide, manganese dioxide, aluminum oxide, arsenic trioxide, bismuth trioxide, chromic oxide, lanthanum oxide, lead dioxide, molybdenum trioxide, stannic oxide, tantalum pentoxide, tungsten trioxide, vanadium pentoxide, mercury iodide, and potassium iodide (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. Vol. 1, pp. 1237).

   Oxygen difluoride reacts exothermically with aluminum oxide (alumina). This reaction can be explosive under certain conditions (e.g. confinement) (Streng, A. G., Chem. Eng. News, 1965, 43(12), 5).

   Titanium dioxide is not easily oxidized under normal conditions (Swiler, D. R. 2005. Pigments, Inorganic. Kirk-Othmer Encyclopedia of Chemical Technology. (Online)).

   Several metal oxides, including those of cobalt, iron, lead, manganese, mercury, and nickel, are active catalysts for the potentially explosive decomposition of hydrogen peroxide (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. Vol. 1, pp. 1531)."
OXYGEN,LEAD SULFIDE,Incompatible,"F
G
R3
T
-----

H2S
SOx
*****


Sulfides, Inorganic WITH Oxidizing Agents, Strong:

   H2S may react explosively with BrF5 (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supp. 1, p. 172. Longmans, Green and Co Ltd.), ClF3 (Mellor. 1956. Volume 2, Supplemental 1. pp. 157.), Cl2O (Mellor. 1941. Volume 2. pp. 241-242; 1946. Volume 5. pp. 824.), or F2O (Streng, A.G. 1963. Chemical Reviews 63:612.).

   H2S ignites on contact with silver bromate, mercury(I) bromate, lead(II) hypochlorite (Pascal, P. 1960. Nouveau Traité de Chimie Minérale. Vol. 13.1, p. 1004. Masson et Cie.), heptasilver nitrate octaoxide (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 3, p. 483-485. Longmans, Green and Co Ltd.), dibismuth dichromium nonaoxide (Pascal, 1960. Volume 13.1. pp. 1025.), Na2O2 (Barrs, C.E. 1955. Journal of the Royal Institute of Chemistry 79:43), and other peroxides (Mellor. 1947. Volume 10. pp. 129.).

   Many inorganic sulfides ignite on contact with fluorine (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, pp. 11, 13. Longmans, Green and Co Ltd.; Volume 6, pp. 110; 1938, Volume 9. pp. 522; 1947. Volume 10. pp. 133; 1943. Volume 11. pp. 430; Moissan, H., Le Fluor et ses Composes, Paris, Steinheil, 1900, pp. 231-232.) or chlorine (Mellor. 1940. Volume 4. pp. 952; 1946. Volume 6. pp. 144; 1939. Volume 9. pp. 270.).

   H2S reacts exothermically, possibly igniting due to reaction heat, with many metal oxides, including BaO2, CrO3, CuO, PbO2, MnO2, NiO, Ag2O, AgO, Na2O2, and Tl2O3. Mixtures with group II oxides and either HgO or NiO are particularly dangerous, possibly reacting explosively (Mellor, J.W. 1947. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 10, pp. 129, 141. Longmans, Green and Co Ltd.). 

   Sulfides can form flammable or explosive mixtures with NaClO3 (MCA Safety Datasheet 42, Manufacturing Chemists’ Association, Washington, 1952).

   PbS reacts violently with H202 (Lewis, R.J., Sr. 1992. Sax's Dangerous Properties of Industrial Materials, 8th Edition. New York: Van Nostrand Reinhold. pp. 2105).

   Inorganic sulfides may liberate toxic SOx gases upon oxidation by inorganic oxidizing agents (Predicted).

   Hydrogen sulfide is rapidly oxidized and may ignite in the presence of several metal oxides, including copper oxide, lead dioxide, and silver oxide. (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. Vol. 1, pp. 1547.)

   Hydrogen trisulfide (HSSSH) decomposes violently and ignites upon contact with copper oxide, lead (II) oxide, lead (IV) oxide, mercury (II) oxide, tin (IV) oxide, or iron (II, III) oxide. (J. W. Mellor, 1947. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 10, pp. 159. Longmans, Green and Co Ltd.)."
OXYGEN,LIMESTONE,Incompatible,"G
R1

-----

CO2
*****


Oxidizing Agents, Strong WITH Carbonate Salts:

   The combination of carbonate salts with strong oxidizing reagents will result in oxidation-reduction reactions with certain cations and may yield CO2 gas. May cause pressurization of containment. Caution should be used before proceeding. Further research of comparable examples in the literature or very small scale, carefully controlled experiments may be needed to fully assess compatibility. The generation of gases may be rather slow, however confinement may lead to dangerous conditions."
OXYGEN,LITHIUM,Incompatible,"E
F
G
R1
R3
T
-----

H2
*****


Metals, Alkali, Very Active WITH Oxidizing Agents, Strong:

   Alkali metals are strong reducing agents, so their interactions with oxidizing agents will generally be vigorous and therefore hazardous. Specific examples follow: 

   Lithium, sodium, and potassium react with moist air at room temperature to form various oxides. Lithium forms lithium hydroxide (LiOH) and flammable hydrogen gas, sodium predominantly forms sodium monoxide (Na2O), and potassium forms the potentially explosive potassium superoxide (KO2). However, they do not react substantially at room temperature with rigorously dry oxygen (Dickinson, F. 1961. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 2, p. 440. Longmans, Green and Co Ltd.; Kamienski, C. W., McDonald, D. P., Stark, M. W. and Papcun, J. R. 2004. Lithium and Lithium Compounds. Kirk-Othmer Encyclopedia of Chemical Technology. (Online); Pascal, P. 1966. Nouveau Traité de Chimie Minérale. Vol. 2, Part 2, p. 30. Masson et Cie.).

   Potassium ignites in F2 and Cl2, explodes in contact with Br2, and incandesces on contact with I2 (Mellor, J. W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Volume 2, pp. 114, 469. Longmans, Green and Co Ltd.; Dickinson, F. 1963. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 3, p. 1563. Longmans, Green and Co Ltd.).

   Potassium explodes on contact with Cl2O (Mellor, J. W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Volume 2, pp. 241-242; Volume 5, p. 824. Longmans, Green and Co Ltd.), ClF3 (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1237), or ICl3 (Pascal, P. 1960. Nouveau Traité de Chimie Minérale. Vol. 16, p. 578. Masson et Cie.). 

   Warm potassium reacts explosively with lead oxide (Dickinson, F. 1963. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 3, p. 1571. Longmans, Green and Co Ltd.). 

   Potassium ignites in N2O5 or N2O4 at ambient temperatures ((Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, pp. 436, 544, 554, 945. Longmans, Green and Co Ltd.) and liquid potassium ignites in SO2 (Pascal, P. 1963. Nouveau Traité de Chimie Minérale. Vol. 2, Part 2, p. 31. Masson et Cie.).

   Liquid potassium reacts incandescently or explosively with mercury oxides (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 770, 779. Longmans, Green and Co Ltd.).

   Lithium ignites spontaneously with ClF3 (Urben, P.G. 1995. Bretherick’s Handbook of Reactive Chemical Hazards, 5th Edition. Oxford: Butterworth-Heinemann. pp. 1237). 

   Lithium reacts violently with BrF5, and they may ignite on contact (Mellor, J.W. 1956. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 1, p. 172. Longmans, Green and Co Ltd.). 

   Sodium ignites on contact with fluorine (Klemm, A., G. Hartmann, and L. Lange. Sodium and Sodium Alloys. In Ullmann’s Encyclopedia of Industrial Chemistry. Wiley-VCH Verlag GmbH & Co. KGaA. (Online)) and ignites in N2O5 (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, pp. 554, 945. Longmans, Green and Co Ltd.). 

   Sodium reacts vigorously or ignites on contact with lead oxide at ambient temperatures (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 401, 658. Longmans, Green and Co Ltd.) and reacts incandescently with other oxides such as CrO3, Mo2O3 (Mellor, J.W. 1943. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 11, pp. 237, 542. Longmans, Green and Co Ltd.), and Hg2O (Mellor, J.W. 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 770. Longmans, Green and Co Ltd.). 

   Sodium forms shock-sensitive explosive mixtures with iodate salts (Cueilleron, J. 1945. Bull. Soc. Chim. (France) 12:88-89). 

   Sodium forms explosive salts with sodium nitrate (Dickinson, F. 1961. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 2, Supplement 2 pp. 518. Longmans, Green and Co Ltd.) and ammonium nitrate (Mellor, J.W. 1964. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 8, Supplement 1, pp. 543-546. Longmans, Green and Co Ltd.). 

   Na-K alloy forms shock-sensitive explosives with AgO or Hg2O (Staudinger, H. 1925. Z. Elektrochem. 31:551).

   Lithium and bromine form impact-sensitive explosive mixtures (Staudinger, H. 1925. Z. Elektrochem. 31:549).

   Sodium and potassium incandesce with nitryl fluoride at ambient temperatures (Anysley, E.E. et al. 1954. Journal of the Chemical Society p. 1122) and also react incandescently with CrO3 (Mellor, J.W. 1943. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 11, pp. 233. Longmans, Green and Co Ltd.). 

   Potassium reacts incandescently with SnO2 (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Volume 7. pp. 401. Longmans, Green and Co Ltd.), NO, or P4O10 if warmed (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Volume 8. pp. 436, 544, 554, 945. Longmans, Green and Co Ltd.).

   Bismuth trioxide is incandescently reduced by potassium (Mellor, J.W. 1941. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Volume 9. pp. 649. Longmans, Green and Co Ltd.). 

   Potassium reacts violently with oxidants, including sodium iodate, silver iodate, and lead sulfate (Dickinson, F. 1963. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Volume 2, Supplement 3. pp. 1571. Longmans, Green and Co Ltd.). 

   Lithium reacts exothermically with halogens; the reactions also emit light (Kamienski, C.W. 2005. Lithium and Lithium Compounds. In Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. (Online)). "
